stn    time           tre200dx  tre200dn  tre200d0
ALT    20180108           17.5      11.8      15.9
ALT    20180109           17.7       2.7       9.4
ALT    20180110            8.0       0.7       4.4
ALT    20180111            6.8       1.3       4.2
ALT    20180112            5.2       1.7       4.4
ALT    20180113            5.3      -3.0       1.4
ALT    20180114            2.0      -3.6      -0.3
ALT    20180115            8.4      -4.9       1.1
ALT    20180116           12.3       4.2       7.1
ALT    20180117            8.9       1.2       4.7
ALT    20180118            6.8       2.3       4.4
ALT    20180119           11.2       1.9       5.4
ALT    20180120            8.8       1.1       3.8
ALT    20180121            9.2       0.3       4.2
ALT    20180122            6.9       1.0       4.8
ALT    20180123            8.1       0.7       5.5
ALT    20180124           12.3      -0.4       4.6
ALT    20180125           13.6       0.6       8.3
ALT    20180126           13.3       6.4       9.0
ALT    20180127            8.5       2.8       6.1
ALT    20180128            8.4      -0.3       4.3
ALT    20180129            8.6      -1.5       3.0
ALT    20180130            9.3       0.9       5.1
ALT    20180131            8.5       0.5       5.2
ALT    20180201            8.7      -0.2       3.8
ALT    20180202            4.5      -2.2       0.8
ALT    20180203            3.4      -0.9       1.1
ALT    20180204            3.7      -2.7       0.6
ALT    20180205            3.5      -3.5       0.5
ALT    20180206            3.3      -2.8       0.5
ALT    20180207            2.8       0.9       2.1
ALT    20180208            2.6       0.9       1.9
ALT    20180209            3.8      -0.4       1.4
ALT    20180210            2.6      -0.6       1.4
ALT    20180211            3.6       0.0       1.5
ALT    20180212            2.1      -4.7      -0.3
ALT    20180213            0.3      -9.4      -4.0
ALT    20180214            1.4      -8.9      -3.9
ALT    20180215            2.4      -7.4      -0.3
ALT    20180216            6.0       2.2       3.9
ALT    20180217            6.6       2.3       4.7
ALT    20180218            3.5       1.8       2.6
ALT    20180219            3.7      -0.1       2.1
ALT    20180220            2.7       0.1       1.5
ALT    20180221            3.4      -0.3       1.1
ALT    20180222            1.4      -1.5       0.0
ALT    20180223            1.8      -0.2       0.5
ALT    20180224            2.2      -0.1       0.9
ALT    20180225            0.4      -4.3      -2.5
ALT    20180226           -4.3      -8.8      -6.4
ALT    20180227           -4.4     -10.3      -7.4
ALT    20180228            2.8     -11.0      -4.0
ALT    20180301            8.4      -2.0       2.6
ALT    20180302           -0.3      -5.4      -1.7
ALT    20180303            4.6      -6.7       0.7
ALT    20180304           15.9      -1.8       7.4
ALT    20180305           14.8       0.9       6.5
ALT    20180306            9.2      -1.1       4.7
ALT    20180307            7.7       3.1       5.1
ALT    20180308           10.7       0.4       5.3
ALT    20180309           14.6       0.1       8.5
ALT    20180310           15.9      11.1      13.9
ALT    20180311           19.0       8.1      14.5
ALT    20180312           11.6       3.1       7.6
ALT    20180313            8.2       4.0       6.3
ALT    20180314           12.7       3.1       7.5
ALT    20180315           16.1       6.8      12.1
ALT    20180316           11.5       2.6       7.5
ALT    20180317            7.8       2.3       5.1
ALT    20180318            4.3       2.0       3.0
ALT    20180319            3.5       0.5       1.5
ALT    20180320            0.9      -0.8       0.3
ALT    20180321            3.9      -2.8       0.7
ALT    20180322            4.9      -5.2       0.5
ALT    20180323            9.3      -1.4       3.6
ALT    20180324           11.9      -3.8       4.8
ALT    20180325           14.6       3.4       8.3
ALT    20180326            8.7       4.9       6.6
ALT    20180327            9.5       4.0       6.1
ALT    20180328           12.8       5.3       8.8
ALT    20180329           10.2       1.7       6.5
ALT    20180330           16.4       0.0       7.1
ALT    20180331            3.3       0.2       1.6
ALT    20180401            9.8       1.0       4.4
ALT    20180402           16.9      -2.0       8.7
ALT    20180403           17.3      13.4      15.1
ALT    20180404           18.5       7.0      13.4
ALT    20180405           12.8       5.2       9.2
ALT    20180406           15.7       1.2       9.1
ALT    20180407           20.3       9.8      15.5
ALT    20180408           20.4      14.7      17.9
ALT    20180409           21.0      11.2      16.5
ALT    20180410           19.3       6.9      12.3
ALT    20180411           16.7       5.3      11.7
ALT    20180412           17.0       8.1      13.6
ALT    20180413           18.1       6.1      13.0
ALT    20180414           17.9       5.9      12.0
ALT    20180415           15.4       4.8      11.3
ALT    20180416           15.8       8.0      11.4
ALT    20180417           19.8       5.7      12.7
ALT    20180418           21.1       5.4      13.1
ALT    20180419           23.5       4.1      14.1
ALT    20180420           23.6       4.8      15.0
ALT    20180421           24.7       5.7      15.9
ALT    20180422           25.3       6.9      17.2
ALT    20180423           23.8       7.9      15.6
ALT    20180424           21.3       7.2      14.7
ALT    20180425           23.7       6.3      16.8
ALT    20180426           15.4       5.8      11.1
ALT    20180427           23.7       4.1      14.0
ALT    20180428           23.0       7.3      16.4
ALT    20180429           23.2      11.1      17.4
ALT    20180430           18.9       7.1      12.4
ALT    20180501           10.9       7.7       9.6
ALT    20180502           12.3       7.7      10.2
ALT    20180503           13.6       9.7      11.4
ALT    20180504           19.2       7.6      14.6
ALT    20180505           21.3       9.4      15.9
ALT    20180506           20.7       9.6      15.6
ALT    20180507           21.4       9.5      15.7
ALT    20180508           24.1       9.1      16.3
ALT    20180509           22.6       9.7      15.4
ALT    20180510           15.6      10.4      12.2
ALT    20180511           19.0       7.5      13.1
ALT    20180512           25.7       7.8      17.5
ALT    20180513           17.9      11.2      14.0
ALT    20180514           14.3       8.5      11.1
ALT    20180515           14.4       8.8      11.0
ALT    20180516           12.8       9.6      11.2
ALT    20180517           14.3       7.8      11.8
ALT    20180518           20.5       5.7      13.1
ALT    20180519           18.4       8.0      13.0
ALT    20180520           16.5       9.2      13.5
